ID,Domain,Parameter,Value,Unit,EvidenceClass,Limitation
V01,Vehicle,Test mass,1950,kg,Project design input,Replace with measured test mass
V02,Vehicle,Wheel rolling diameter,0.724,m,Project design input,Replace with loaded rolling radius
V03,Vehicle,Reduction ratio,9.11,-,Project component input,Confirm selected drive unit
V04,Vehicle,Road-load constant A,566.4645,N,Reconstructed from two operating points,Replace with coast-down data
V05,Vehicle,Road-load speed term B,0.4185918,N/(m/s)^2,Reconstructed from two operating points,Replace with coast-down data
B01,Battery,Cell capacity,134,Ah,SVOLT manufacturer specification,Confirm production cell revision
B02,Battery,Cell nominal voltage,3.2,V,SVOLT manufacturer specification,Confirm production cell revision
B03,Battery,Series-cell count,108,count,Project pack topology,Confirm production pack topology
B04,Battery,Resistance proxy,0.40,mOhm,SVOLT manufacturer ACR limit,Not a temperature and SOC dependent DC resistance model
B05,Battery,Cell-base thermal resistance,3.10,K/W,Reconstructed thermal network,Validate against cell-to-coolant test
B06,Battery,Continuous-charge cutoff,55,degC,SVOLT manufacturer specification,Applies to continuous charging table
B07,Battery,Absolute operating limit,60,degC,SVOLT manufacturer specification,BMS must stop battery operation
D01,Drive unit,Integrated efficiency surface,50-95.2,percent,Digitized 125 kW supplier chart,Replace with supplier numerical test map
D02,Drive unit,Three-in-one assembly mass,83.5,kg,Project component input,Mass confirmed; internal material split unavailable
D03,Drive unit,Assumed effective specific heat,538.9222,J/(kg K),Calibration assumption,ADC12 applies only to the outer casing
D04,Drive unit,Assumed thermal capacitance,45000,J/K,Derived sensitivity input,Mass multiplied by assumed effective specific heat
D05,Drive unit,Assumed motor-to-coolant resistance,0.015,K/W,Calibration assumption,Identify experimentally
C01,Coolant,Mixture,50/50 water-glycol,-,Project system input,Use selected coolant properties
C02,Coolant,Assumed loop thermal capacitance,17500,J/K,Calibration assumption,Replace with measured coolant volume and component masses
H01,Hydraulics,Hose internal diameter,20,mm,Confirmed project geometry,Applies to all six external hoses
H02,Hydraulics,Reference flow,16,L/min,Project component basis,Confirm component test conditions
H03,Pump,Screening operating point,20 L/min at 60 kPa,-,Manufacturer specification point,Only available active-point evidence; do not infer a complete Q-H curve
H04,Pump,Inactive resistance curve,0-50 L/min,-,Manufacturer digitized evidence,Passive resistance only; never use as active pump head
R01,Radiator,Candidate core envelope,270 x 310 x 26,mm,Retained project geometry,Unbuilt design candidate; depth inferred from tube and fin width
R02,Radiator,Flat-tube external cross-section,26 x 2,mm,Retained project geometry,The 2 mm value is external depth and not wall thickness
R03,Radiator,Assumed tube wall thickness,0.2,mm,Comparable tested automotive radiator,Screening geometry only; not measured for this candidate
R04,Radiator,Fin pitch,2.8,mm,Retained project geometry,Fin-stock thickness is not stated in the project drawing
R05,Radiator,Assumed fin thickness,0.1,mm,Comparable tested automotive radiator,Screening geometry only; not measured for this candidate
R06,Radiator,Assumed transient-model UA,665,W/K,Calibration assumption,Compare with calculated requirement and selected-core map or test
R07,Radiator,Assumed fan-only transient UA,300,W/K,Calibration assumption,Not a fan selection or measured core result
R08,Radiator,Air temperature rise sensitivity,5-15,degC,Declared analysis range,Boundary-condition sweep only; not measured air-side performance
A01,Ambient,Hot-weather air inlet,45,degC,Design boundary,Replace with project climate requirement
